student_id,name,age,grade,email,school_email
83,Leo83,18,C,leo8360@school.com,leo8338@school.com
84,Bob84,18,A,bob8446@school.com,bob8445@school.com
85,Rita85,18,A,rita8526@school.com,rita8525@school.com
86,Alice86,21,B,alice8639@school.com,alice8672@school.com
87,Sam87,19,C,sam8780@school.com,sam8746@school.com
88,Wendy88,23,A,wendy8858@school.com,wendy8842@school.com
89,Tina89,21,C,tina8979@school.com,tina892@school.com
90,Zane90,25,D,zane9073@school.com,zane9043@school.com
91,Tina91,21,D,tina917@school.com,tina9191@school.com
92,Wendy92,19,C,wendy9277@school.com,wendy9293@school.com
93,Quincy93,19,A,quincy9313@school.com,quincy9338@school.com
94,Eva94,24,C,eva9470@school.com,eva9429@school.com
95,Tina95,25,D,tina9561@school.com,tina9543@school.com
96,Ian96,25,C,ian961@school.com,ian9625@school.com
97,Mona97,22,C,mona9756@school.com,mona9726@school.com
99,Bob99,23,B+,bob9925@school.com,bob9979@school.com
100,Paul100,19,B,paul10052@school.com,paul10057@school.com
